job_id,job_title,company,descriptions,location,category,subcategory,type,salary
72844633,associate process engineer all modules,globalfoundries singapore,review analyze spcfdc statistical process control fault detection classification charts by following modules cassop control action system standard operating procedure review setup data and release tool with proper sop troubleshoot process related issues provide detailed and accurate passdown of toolprocess related inhibits lot disposition proper and accurate passdown of line issues and documentation assist engineers participate in the qualification process improvement projects or new processes and new equipment qualification remotely coordinate with pe eaeee technician me other module to ensure that work is carried out according to sop to meet module objectives actively participate in various cip continuous improvement projects to improve process robustness cost and capacity efficiency diploma in electrical electronics mechanical mechatronics microelectronics chemical process engineering chemistry physics 12 years working experience in an electrical electronics industry good team player willing to learn new skills with good initiatives and accountability good communication skills interpersonal oral and written perform shift duties 12hours shift daynight rotation to support operations flexible and able to support overtime,penang island,engineering,process engineering,full time,
72750107,it business analyst,mewah group,to develop new software applications and customize existing systems to meet business requirements to perform business requirement studies analysis and testing to ensure effective system design to identify areas for improvement make recommendations and implement solutions to improve efficiency and productivity in business processes able to lead or contribute to system implementation projects and ensure they are delivered on time and within the budget to collaborate with crossfunctional teams to understand technology needs and implement solutions accordingly to prepare and maintain application system documentation to conduct application user training including technical training to enable users to operate the system in an effective and efficient manner able to support system recovery to assist in daily system administration including maintenance backup troubleshooting and system security the candidate must possess at least a bachelors degree in computer science or equivalent at least 23 years of working experience in the related field is preferable for this position required skills computer programming javascript html database management sql power bi experience with netsuite erp and netsuite suitescript is an advantage good verbal and written communication skills in english and bahasa malaysia applicants with strong project management skills system implementation skills analytical and problemsolving skills result oriented and hardworking will have an added advantage flexible and willing to work beyond normal working hours able to work independently with less supervision and work as a team applicants must be proactive hardworking and able to work under deadlines are you willing to relocate for this role,klang district,information & communication technology,business/systems analysts,full time,
72693889,contract business administration analyst,rga global reinsurance company ltd labuan branch,use rga administration system to process client statementdata to ensure accuracy and completeness on the final results for reporting perform data checking and liase with client for any reinsurance issue arise pertaining to the statement for statements not received make sure correct accrual methods are adopted and reasonable amounts are accrued at each month end process identify risks to be ceded out and calculate related amounts accurately according to retrocession arrangement at each months end map or rap data into a common format in case of new format or format change on client data extract and analyze data to fulfill ad hoc projects eg experience study support on various management reporting tasks support to review treaty content from admins perspective support on different types of project execution and management actively involved in team discussions and be able to communicate with other local functions effectively university degree or above in actuarial science mathematics statistic information technology accounting or other related disciplines clientfocused and target driven a good team player who can also work on own initiative logical thinking attention to detail time management and problemsolving skills ability to cope with multi tasks at the same time work under pressure and prioritize them based on teams goal a positive attitude in dealing with people and different types of tasks better to have some working experience basic understanding or oracle sql prior experience on toad would be a plus access and excel skill including but not limited to vlookup writeedit vba be able to handle basic english communication in own field intellectual curiosity and the desire to learn,kuala lumpur,science & technology,"mathematics, statistics & information sciences",contract/temp,"RM 4,000 – RM 4,500 per month"
72871004,data scientist,private advertiser,whats your expected monthly basic salary how many years experience do you have as a data scientist which of the following programming languages are you experienced in have you worked in a role which requires experience with machine learning,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time,
72814199,data scientist,continental tyre pj (m) sdn bhd,working with domain experts to understand their problems and solve them with data understanding the continental tires data landscape with its diverse applications and architectures being a partner in connecting the necessary experts from business and it to solve problems getting involved into different tasks at once and involving yourself with our team to get the support you need supporting shaping the processes and organization to leverage the business value data science can bring to continental running exploratory analysis creating data insights and conclusions and developing predictive models programmatically academic degree in computer science data science econometrics or similar studies several years of work experience in it or data science comprehensive knowledge of methods from machine learning artificial intelligence statistics and mathematical optimization experience in orchestration and industrialization of data science projects including the knowledge of necessary cloud stacks eg kubernetes aws jenkins airflow a widespread programming language e g python r sas scala or similar time series forecasting and customer analytics working knowledge of version control with git or cli with database systems and data extraction from diverse sources including sql experience with tabular data in data visualization and data storytelling beneficial experience with communicating model performance to stakeholders beneficial domain knowledge in supply chain management sales or marketing beneficial agile as well as traditional project management skills reliable team player with structured selforganized workstyle intercultural sensitivity good english language skills written and spoken individual development planning based on your personal needs and targets e g mentoring trainings or global internal software academy work from home up to days weekdays a week unless workshops etc require physical presence performance bonus casual leave with pay e g paternity leave maternity leave agile and collaborative workstyle opportunity to make a difference employee discounts an international team across enter number of hubs at cc locations in a globally active organization employee providence fund 16 upon confirmation retirement savings plan exceeding epf standard group term life insurance unlimited medical coverage for your spouse and children incl general optical and dental health and hospitalization coverage relocation package offered if needed canteen onsite sport center onsite incl continental sports club onsite physicians clinical services structure onsite interestfree car loans and housing loan interest subsidy examination leave sabbatical option,petaling,information & communication technology,database development & administration,full time,
72867189,data engineer,farmbyte sdn. bhd.,implement and manage aws cloud solutions to enhance our data infrastructure design and maintain a scalable and reliable data lake and data pipeline leverage cloud technologies for efficient data extraction transformation and loading ensure high performance and troubleshoot issues within our cloudbased data systems collaborate with crossfunctional teams to integrate cloud services and drive farmbyte data strategy advocate for data best practices and contribute to innovative data solutions in the agrofood sector bachelors or masters degree in computer science information technology engineering or related field proven experience as a data engineer with strong expertise in aws and cloud environments proficient in data management sql python and other relevant programming languages familiarity with data pipeline and workflow management tools deep understanding of cloudbased data storage and processing technologies passion for technologydriven solutions in the agrofood industry excellent analytical and problemsolving skills strong communication abilities and a collaborative spirit eagerness to embrace challenges and drive innovation in the agrofood sector experience in data security and compliance in cloud environments whats your expected monthly basic salary how many years experience do you have as a data engineer,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time,"RM 4,000 – RM 6,000 per month"
72878751,data analyst,taylor's education group,,petaling,consulting & strategy,analysts,full time,
72696058,data analyst,lynx solutions sdn. bhd.,handle administrative duties and adhoc from sales leader planing and monitoring data based on companys market data and provided sales data thus outlining problems opportunities and solutions for company mainly focuses on analyzing the conversion rate data of salesperson compare the data as well as present the optimization proposal integrate the result of data analysis lead and supervise the working behavior of salesperson provide guidance in order to improve as well as enhance sales teams conversion data preferably individuals possess good problem solving skills and high flexibility in resolving issues at least one year experience in analyticalstatisticssales data analyst fields proficiency in using statistics software excel and tableau desktop would be an added advantage strong analytical and problem solving skills fast learner high responsibility proven to work as a team and willingness to learn languange must be able to speak write read mandarin and english at least for basic communication proficiency in using microsoft powerpoint would be an advantage working experience in financial services industry preferred possess at least bachelors degreepost graduate diploma in financeanalyst or equivalent possess huge interest in analytical fields how would you rate your mandarin language skills whats your expected monthly basic salary how much notice are you required to give your current employer,kuala lumpur,marketing & communications,market research & analysis,full time,"RM 4,000 – RM 4,500 per month"
72863386,data analysts data engineers bangsar south kerinchi lrt,ag staffing malaysia,data collection and analysis collaborate with crossfunctional teams to gather and analyze gamerelated data including player behaviour ingame transactions and performance metrics data visualization create insightful and easytounderstand data visualizations dashboards and reports to communicate key findings to stakeholders player insights identify trends and patterns in player behaviour demographics and preferences to enhance player experiences and engagement ab testing design and execute ab tests to evaluate the impact of game updates and features on player engagement and monetization performance optimization work closely with game developers to optimize game performance identify bottlenecks and recommend improvements predictive analytics utilize statistical and machine learning techniques to build predictive models for player churn spending patterns and other relevant metrics data quality assurance ensure data accuracy and integrity by implementing data validation processes and quality checks fresh graduates are encouraged to apply bachelors degree in a relevant field eg data science statistics computer science or a related discipline advanced degree preferred proven experience in data analysis preferably in the gaming industry proficiency in data analysis tools such as sql python or r strong data visualization skills using tools like tableau power bi or similar familiarity with statistical analysis and ab testing methodologies excellent communication skills with the ability to present complex data findings to both technical and nontechnical stakeholders selfmotivated detailoriented and able to work independently as well as part of a team passion for gaming and a deep understanding of gaming mechanics and player behaviour is a plus data pipeline development design build and maintain scalable and efficient data pipelines to collect process and store gamerelated data from various sources data architecture collaborate with data analysts and data scientists to design and optimize data models and schema for analytical and reporting needs etl processes develop and implement etl processes for transforming raw data into structured datasets ensuring data accuracy and integrity performance optimization monitor and optimize data pipelines for performance reliability and costeffectiveness data quality assurance implement data validation data quality checks and error handling to ensure data consistency and accuracy database management administer and manage data storage systems including data warehouses and data lakes documentation maintain clear and comprehensive documentation for data pipelines processes and architectural decisions bachelors degree in computer science data engineering or a related field advanced degree preferred proven experience as a data engineer with expertise in data pipeline development etl processes and data architecture proficiency in programming languages such as python java or scala strong knowledge of data modeling database management and sql experience with big data technologies and frameworks such as hadoop spark or flink familiarity with cloud platforms like aws azure or google cloud excellent problemsolving skills and the ability to work collaboratively in a team passion for gaming and a deep understanding of gaming data is a plus 13th months salary upon company declaration project incentive upon company declaration based on project performance transport meal birthday allowances upon confirmation sports activities badminton basketball company outing training and certification sponsored by company selected employees rewards and recognition long service award best performer award role model awards etc whats your expected monthly basic salary,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time,"RM 8,000 – RM 12,000 per month"
72382969,machine learning engineer artificial intelligence,footfallcam,design develop and deploy machine learning models and algorithms for complex and unique datasets using various techniques such as mathematical modeling scikitlearn nlp cnn rnn dl rl transformers gan llm rag collaborate with crossfunctional teams to extract insights identify business opportunities and provide datadriven recommendations stay uptodate with the latest machine learning and ai techniques and tools communicate complex technical concepts to nontechnical stakeholders in an easytounderstand manner bachelors degree or higher in computer science mathematics statistics actuarial science informatics information science or related fields strong analytical skills and attention to detail participation in kaggle mathematics olympiad or similar competitions is a plus excellent programming skills in python r java or c familiar with ml frameworks such as tensorflow keras pytorch mlflow automl tensorrt cuda excellent communication and collaboration skills experience with designing training and deploying machine learning models customer centric and committed to deliver the best ai results to customers,kuala lumpur,science & technology,"mathematics, statistics & information sciences",full time,"RM 4,000 – RM 6,000 per month"
72856382,data analyst,daikin malaysia sales & service sdn. bhd.,collect process and analyze data to help companies improve and grow using automated tools to extract data from primary and secondary sources removing corruptedduplicate data and fixing coding errors and related problems developing and maintaining databases and data systems reorganizing data in a readable format performing analysis to assess the quality and meaning of data filter data by reviewing reports and performance indicators to identify and correct code problems using statistical tools to identify analyze and interpret patterns and trends in complex data sets could be helpful for the diagnosis and prediction assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time preparing reports for the management stating trends patterns and predictions using relevant data working with other department to identify process improvement opportunities propose system modifications and devise data governance strategies preparing final analysis reports for the stakeholders to understand the dataanalysis steps enabling them to take important decisions based on various facts and trends degree in a bachelors degree in a related field such as mathematics statistics computer science economics or engineering fresh graduate are highly encourage to apply language spokenwritten english bahasa malaysia and chinese computer skill python r power bi msexcel experience working with tools that are designed to carry out data analytics and visualizations whats your expected monthly basic salary how many years experience do you have as a data analyst which of the following programming languages are you experienced in,petaling,information & communication technology,business/systems analysts,full time,"RM 4,000 – RM 6,000 per month"
72753208,data architect,cimb group,act as data architect at regional capacity requiring communications across departments within cimb group and its entities located in malaysia indonesia singapore thailand vietnam cambodia and philippines act as secretariat for data architecture committee dac review the data projects using data risk assessment before the gsrc approval stage to develop reporting data mart for the dva platform to develop dashboard using tableau develop understanding of current state data architecture and target state data architecture and corresponding strategy and roadmap work closely with business units to define the technical strategy for data products and applications eg data sources data repositories data tools etc define and refine data architecture framework for review of new and existing data investments ensure data initiatives and related projects are aligned to organizationwide target data architecture including review and approval of key design documents engage regional teams on regional operating model rom for data architecture to ensure alignment and conduct quarterly reviews with respective entities to track their progress define and review data architecture guidelines and provide gonogo decisions for group solution review committee gsrc stage of solution review participate in technical peer review tpr and review solutions requiring data architecture review perform data architecture review on regional solutions based on key solution documents and completed regional data risk assessment checklist provided by demand managers solution architects to develop and review current data architecture guidelines annually and publish changes enterprise wide design and maintain enterprise data repository along with relevant teams design and implement effective database solutions and models to store and retrieve enterprise data examine and identify database structural necessities by evaluating data base operations application and programming assess database implementation procedures to ensure compliance with internal and external regulations perform periodic review on data architecture review process conduct process improvements and streamline as required this includes but not limited to criteria of data architecture change data project classification review process flow review automation process change in regional data risk assessment checklist template change in data viewpoint in key solution documents and dashboards for data architecture seek endorsement from dac on changes to data architecture review process and regional data risk assessment checklist template update dac on quarterly basis regarding solutions requiring data architecture review endorsed by lead of data architecture monitor crossbu data provisioning to ensure provisioning is done via official sources authorize official sources and manage exceptions for noncompliance define and review technical data standards and approve exceptions to standards support selection and implementation of tools for governance architecture and quality with input from group technology develop and maintain data architecture standards process documentation and templates adhere to all applicable procedures company policies it standards sdlc and regulatory guidelines provide guidance and knowledge sharing to stakeholders on data architecture which include walkthrough of the following regional data risk assessment checklist data architecture review dar process conduct workshops locally regionally to brief stakeholders when there is a change in data architecture review process good communication skills as the role requires collaboration with business stakeholders enterprise architecture solutioning eas team group data protection office gdpo technology risk cyber risk it security business continuity management gt business enablers as well as other pillars within gda manage business stakeholders expectations to achieve customer satisfaction minimum 5 years of experience in data management enterprise architecture experience in designing solutions for data initiatives such as business data marts data warehouses big data platforms operational data stores data virtualization data science workbench andor data visualization analytics platform completed designing implementing minimally 5 solutions successfully for data initiatives preferably at least one of the solution implementations was for banking industry minimum 2 years of experience in sql and data base good experience in data management and etl process strong data modelling skills knowledge of data governance and data quality experience in sql and data analytics added advantage to have python or r good command of data visualization tools for example tableau experience with integration of data from multiple data sources good knowhow of data warehousing and database fundamentals excellent organizational and analytical abilities outstanding problem solver good written and communication skills experience with big data technologies such as hadoop hive etc experience with relational sql and nosql databases experience in enterprise or solution architecture experience with cloud solution experience in data virtualization technologies how many years experience do you have as a data architect,kuala lumpur sentral,information & communication technology,architects,full time,
